DATE,Crude,natural_gas,Cocoa,Coffee,Soybeans,soybean_oil,soybean_meal,Maize,Wheat,Banana,Orange,Beef,Chicken,Sugar,Cotton,Rubber,Phosphate,Aluminum,Iron ore,Copper,Gold,President,CPI
8/1/1965,1.42,0.16,0.33,1,110.78,234,96,55.12,57.69,0.17,0.1,0.89,0.35,0.14,0.63,0.48,14,540.13,10.24,1209.9,35.12,Democrat,31.55
9/1/1965,1.42,0.16,0.36,1,106.1,248,105.3,53.93,58.42,0.18,0.1,0.91,0.35,0.14,0.63,0.48,14,540.13,10.24,1327.84,35.12,Democrat,31.62
10/1/1965,1.42,0.16,0.37,1.01,104.44,284,97.1,51.57,58.05,0.19,0.1,0.93,0.35,0.14,0.62,0.47,14,540.13,10.24,1401.92,35.12,Democrat,31.65
11/1/1965,1.42,0.16,0.4,1.03,107.47,276,103,51.57,58.05,0.15,0.1,0.91,0.36,0.14,0.62,0.49,14,540.13,10.24,1469.16,35.12,Democrat,31.75
12/1/1965,1.42,0.16,0.46,1.03,112.99,256,97.1,55.12,58.42,0.13,0.09,0.94,0.36,0.13,0.62,0.5,14,540.13,10.24,1517.66,35.12,Democrat,31.85
1/1/1966,1.36,0.16,0.47,1.01,119.6,267,101.93,57.08,58.42,0.13,0.09,0.97,0.36,0.14,0.62,0.51,13,540.13,9.52,1679.04,35.13,Democrat,31.88
2/1/1966,1.36,0.16,0.47,0.97,121.8,273,99.1,57.08,58.79,0.14,0.07,0.96,0.36,0.14,0.62,0.51,13,540.13,9.52,1874.37,35.13,Democrat,32.08
3/1/1966,1.36,0.16,0.49,0.95,119.88,265,92.5,55.51,58.79,0.17,0.09,1.07,0.36,0.14,0.64,0.5,13,540.13,9.52,1874.81,35.13,Democrat,32.18
4/1/1966,1.36,0.16,0.53,0.95,122.08,267,96.9,55.9,58.79,0.19,0.09,1.07,0.36,0.14,0.62,0.48,13,540.13,9.52,1907.44,35.13,Democrat,32.28
5/1/1966,1.36,0.16,0.51,0.95,124.84,256,102.4,55.12,58.79,0.18,0.09,1.04,0.36,0.14,0.62,0.49,13,540.13,9.52,1663.61,35.13,Democrat,32.35
6/1/1966,1.36,0.16,0.53,0.92,130.62,256,117.8,57.08,62.1,0.18,0.08,0.99,0.36,0.14,0.62,0.47,13,540.13,9.52,1695.79,35.13,Democrat,32.38
7/1/1966,1.36,0.16,0.58,0.92,138.89,267,123.3,59.05,65.4,0.14,0.08,0.97,0.37,0.14,0.62,0.47,13,540.13,9.52,1567.93,35.13,Democrat,32.45
8/1/1966,1.36,0.16,0.57,0.92,140.27,276,124.4,62.6,67.61,0.16,0.08,1,0.37,0.14,0.62,0.46,13,540.13,9.52,1195.34,35.13,Democrat,32.65
9/1/1966,1.36,0.16,0.5,0.9,127.59,267,112.3,61.02,67.24,0.14,0.08,1.05,0.37,0.14,0.61,0.43,13,540.13,9.52,1128.32,35.13,Democrat,32.75
10/1/1966,1.36,0.16,0.51,0.89,120.15,251,104.6,58.66,66.14,0.13,0.08,1.05,0.37,0.15,0.63,0.45,13,540.13,9.52,1275.37,35.13,Democrat,32.85
11/1/1966,1.36,0.16,0.5,0.89,121.25,248,101.3,59.05,65.77,0.14,0.08,1.03,0.37,0.14,0.63,0.45,13,540.13,9.52,1301.61,35.13,Democrat,32.88
12/1/1966,1.36,0.16,0.55,0.87,120.98,245,107.9,61.41,67.61,0.14,0.08,1.06,0.37,0.14,0.63,0.43,13,540.13,9.52,1214.53,35.13,Democrat,32.92
1/1/1967,1.33,0.16,0.57,0.85,117.4,231,104.6,60.23,67.24,0.16,0.18,1.08,0.37,0.14,0.64,0.43,12,540.13,8.86,1243.85,34.95,Democrat,32.9
2/1/1967,1.33,0.16,0.61,0.84,116.84,225,101.3,59.05,67.98,0.14,0.15,1.06,0.37,0.15,0.66,0.41,12,540.13,8.86,1220.48,34.95,Democrat,33
3/1/1967,1.33,0.16,0.6,0.82,115.74,231,98,59.05,69.81,0.16,0.16,1.04,0.37,0.15,0.66,0.41,12,540.13,8.86,1098.34,34.95,Democrat,33
4/1/1967,1.33,0.16,0.58,0.85,116.29,227,95.8,57.87,68.34,0.16,0.16,1.06,0.37,0.15,0.66,0.41,12,540.13,8.86,994.72,34.95,Democrat,33.1
5/1/1967,1.33,0.16,0.57,0.89,116.29,224,94.7,57.08,68.34,0.15,0.15,1.04,0.37,0.15,0.66,0.4,12,540.13,8.86,1036.17,34.95,Democrat,33.1
6/1/1967,1.33,0.16,0.58,0.91,117.4,226,98.9,57.08,66.51,0.16,0.16,1.04,0.37,0.15,0.67,0.41,12,540.13,8.86,1015.22,34.95,Democrat,33.3
7/1/1967,1.33,0.16,0.57,0.9,115.19,212,98.9,55.12,64.67,0.16,0.16,1.04,0.37,0.15,0.67,0.4,12,540.13,8.86,997.37,34.95,Democrat,33.4
8/1/1967,1.33,0.16,0.59,0.88,111.13,210,98.9,51.97,63.93,0.15,0.16,1.03,0.37,0.15,0.68,0.37,12,540.13,8.86,1044.55,34.95,Democrat,33.5
9/1/1967,1.33,0.16,0.62,0.86,111.06,206,98.9,49.21,63.2,0.18,0.16,1.04,0.37,0.15,0.69,0.36,12,540.13,8.86,1060.2,34.95,Democrat,33.6
10/1/1967,1.33,0.16,0.61,0.85,109.96,203,98.9,48.03,63.57,0.18,0.16,1.04,0.37,0.15,0.7,0.36,12,540.13,8.86,1138.47,34.95,Democrat,33.7
11/1/1967,1.33,0.16,0.64,0.87,116.02,211,98.9,47.64,62.83,0.16,0.16,1.01,0.38,0.15,0.71,0.35,12,540.13,8.86,1443.81,34.95,Democrat,33.9
12/1/1967,1.33,0.16,0.65,0.85,113.38,196,98.9,46.9,62.1,0.13,0.17,1.02,0.38,0.15,0.72,0.36,12,540.13,8.86,1324.09,34.95,Democrat,34
1/1/1968,1.32,0.16,0.65,0.87,114.09,196,97,51.57,62.1,0.11,0.16,1.03,0.38,0.15,0.72,0.35,11.5,540.13,8.77,1408.75,35.5,Democrat,34.1
2/1/1968,1.32,0.16,0.63,0.87,114.56,193,97,51.18,62.83,0.17,0.17,1.02,0.38,0.15,0.71,0.33,11.5,540.13,8.77,1719.82,36,Democrat,34.2
3/1/1968,1.32,0.16,0.62,0.88,115.51,191,96,50,63.57,0.16,0.18,1.03,0.38,0.15,0.71,0.36,11.5,540.13,8.77,1701.08,37,Democrat,34.3
4/1/1968,1.32,0.16,0.63,0.89,113.14,190,95,48.03,61.73,0.17,0.18,1.05,0.38,0.15,0.71,0.36,11.5,540.13,8.77,1255.09,37.86,Democrat,34.4
5/1/1968,1.32,0.16,0.62,0.88,114.32,189,96,48.42,60.26,0.18,0.19,1.08,0.38,0.15,0.71,0.37,11.5,540.13,8.77,1096.58,40.7,Democrat,34.5
6/1/1968,1.32,0.16,0.61,0.89,111.96,178,96,47.64,61.73,0.15,0.16,1.11,0.38,0.15,0.7,0.4,11.5,562.18,8.77,1136.7,41.14,Democrat,34.7
7/1/1968,1.32,0.16,0.63,0.88,110.78,162,96,47.24,63.57,0.16,0.16,1.1,0.38,0.15,0.69,0.39,11.5,562.18,8.77,1054.25,39.46,Democrat,34.9
8/1/1968,1.32,0.16,0.65,0.87,105.82,157,96,44.88,63.93,0.14,0.16,1.1,0.39,0.15,0.68,0.4,11.5,562.18,8.77,1056.45,39.19,Democrat,35
9/1/1968,1.32,0.16,0.77,0.85,105.35,161,99,44.09,63.57,0.16,0.16,1.16,0.39,0.15,0.66,0.39,11.5,562.18,8.77,1110.03,40.18,Democrat,35.1
10/1/1968,1.32,0.16,0.83,0.85,104.17,166,98,44.88,63.57,0.15,0.16,1.17,0.39,0.16,0.66,0.41,11.5,562.18,8.77,1079.82,39.21,Democrat,35.3
11/1/1968,1.32,0.16,0.97,0.85,108.89,173,97,49.21,63.2,0.14,0.16,1.1,0.39,0.15,0.63,0.42,11.5,562.18,8.77,1099.88,39.78,Democrat,35.4
12/1/1968,1.32,0.16,1.02,0.83,111.02,181,94,48.42,63.2,0.13,0.18,1.09,0.39,0.15,0.62,0.42,11.5,562.18,8.77,1184.98,41.08,Democrat,35.6
1/1/1969,1.27,0.17,0.94,0.83,111.49,181,95,50.39,63.2,0.14,0.15,1.09,0.39,0.16,0.63,0.43,11.25,573.2,9.84,1255.53,42.3,Republican,35.7
2/1/1969,1.27,0.17,0.91,0.84,109.36,185,95,50.39,62.83,0.14,0.15,1.09,0.39,0.16,0.63,0.47,11.25,584.22,9.84,1285.29,42.6,Republican,35.8
